bin,pbm_name,email
22832,MedOne Healthcare Systems,providerrelations@medone-rx.com
23211,MedOne Healthcare Systems,providerrelations@medone-rx.com
23468,MedOne Healthcare Systems,providerrelations@medone-rx.com
25832,MedOne Healthcare Systems,providerrelations@medone-rx.com
610311,MedOne Healthcare Systems,providerrelations@medone-rx.com
800004,Medtrak,providerrelations@medone-rx.com
17076,MeridianRx,pharmacyservices@meridianrx.com
17639,MeridianRx,pharmacyservices@meridianrx.com
20933,MeridianRx,pharmacyservices@meridianrx.com
22006,MeridianRx,pharmacyservices@meridianrx.com
16127,Navitus Health Solutions,providerrelations@navitus.com
20974,Navitus Health Solutions,providerrelations@navitus.com
22022,Navitus Health Solutions,providerrelations@navitus.com
610602,Navitus Health Solutions,providerrelations@navitus.com
3650,OptumRx,provider.relations@optum.com
5947,OptumRx,provider.relations@optum.com
7110,OptumRx,provider.relations@optum.com
8878,OptumRx,provider.relations@optum.com
9117,OptumRx,provider.relations@optum.com
9992,OptumRx,provider.relations@optum.com
10553,OptumRx,provider.relations@optum.com
10868,OptumRx,provider.relations@optum.com
11677,OptumRx,provider.relations@optum.com
11867,OptumRx,provider.relations@optum.com
11891,OptumRx,provider.relations@optum.com
12924,OptumRx,provider.relations@optum.com
14681,OptumRx,provider.relations@optum.com
15558,OptumRx,provider.relations@optum.com
15756,OptumRx,provider.relations@optum.com
15789,OptumRx,provider.relations@optum.com
15839,OptumRx,provider.relations@optum.com
18240,OptumRx,provider.relations@optum.com
20032,OptumRx,provider.relations@optum.com
600471,OptumRx,provider.relations@optum.com
601577,OptumRx,provider.relations@optum.com
603017,OptumRx,provider.relations@optum.com
603286,OptumRx,provider.relations@optum.com
610118,OptumRx,provider.relations@optum.com
610182,OptumRx,provider.relations@optum.com
610593,OptumRx,provider.relations@optum.com
610623,OptumRx,provider.relations@optum.com
610624,OptumRx,provider.relations@optum.com
610648,OptumRx,provider.relations@optum.com
610652,OptumRx,provider.relations@optum.com
610679,OptumRx,provider.relations@optum.com
610704,OptumRx,provider.relations@optum.com
5567,OptumRx,ClientServices3@optum.com
800010,OptumRx,provider.relations@optum.com
4519,OptumRx,provider.relations@optum.com
16580,OptumRx,provider.relations@optum.com
17366,OptumRx,provider.relations@optum.com
18141,OptumRx,provider.relations@optum.com
18643,OptumRx,provider.relations@optum.com
21684,OptumRx,provider.relations@optum.com
21825,OptumRx,provider.relations@optum.com
262400,OptumRx,provider.relations@optum.com
610011,OptumRx,provider.relations@optum.com
610097,OptumRx,provider.relations@optum.com
610127,OptumRx,provider.relations@optum.com
610212,OptumRx,provider.relations@optum.com
610279,OptumRx,provider.relations@optum.com
610494,OptumRx,provider.relations@optum.com
610106,OptumRx,provider.relations@optum.com
19595,OptumRx,provider.relations@optum.com
610548,OptumRx,provider.relations@optum.com
25862,OptumRx,provider.relations@optum.com
4261,OptumRx,provider.relations@optum.com
601341,Opus Health,Opusadmin@iqvia.com
610747,Paramount,Providers@Paramountrx.com
610210,Paramount,Providers@Paramountrx.com
4626,Pharmacy Benefit Dimensions,providerservice@servicing.independenthealth.com
12635,Pharmacy Benefit Dimensions,providerservice@servicing.independenthealth.com
6012,Pharmacy Data Management Inc,pharmacyenrollment@pdmi.com
17274,Pharmacy Data Management Inc,pharmacyenrollment@pdmi.com
21932,Pharmacy Data Management Inc,pharmacyenrollment@pdmi.com
24517,Pharmacy Data Management Inc,pharmacyenrollment@pdmi.com
610020,Pharmacy Data Management Inc,pharmacyenrollment@pdmi.com
610325,Pharmacy Data Management Inc,pharmacyenrollment@pdmi.com
24269,PharmaForce,PharmacyNetwork@thepharmaforce.com
21668,PharmPix,retailnetwork@pharmpix.com
24525,PharmPix,retailnetwork@pharmpix.com
610208,PharmPix,retailnetwork@pharmpix.com
610228,PharmPix,retailnetwork@pharmpix.com
610749,Prescryptive Health,pharmacyrelations@prescryptive.com
4915,Prime Therapeutics,PharmacyOps@primetherapeutics.com
11552,Prime Therapeutics,PharmacyOps@primetherapeutics.com
12833,Prime Therapeutics,PharmacyOps@primetherapeutics.com
14897,Prime Therapeutics,PharmacyOps@primetherapeutics.com
15905,Prime Therapeutics,PharmacyOps@primetherapeutics.com
16499,Prime Therapeutics,PharmacyOps@primetherapeutics.com
16895,Prime Therapeutics,PharmacyOps@primetherapeutics.com
610455,Prime Therapeutics,PharmacyOps@primetherapeutics.com
800001,Prime Therapeutics,PharmacyOps@primetherapeutics.com
23575,ProAct,updates@proactrx.com
9265,Procare,network@procarerx.com
610198,Procare,network@procarerx.com
23237,Procare,network@procarerx.com
9430,Procare,network@procarerx.com
15235,Procare,network@procarerx.com
18364,Procare,network@procarerx.com
21981,Procare,network@procarerx.com
22816,Procare,network@procarerx.com
900020,Procare,network@procarerx.com
5285,Procare,rxreimbursements@ehimrx.com
4527,Prodigy - Employer Health Options,providers@prodigyrx.com
610830,RealRx (Cover My Meds),**need email**
610862,Right Way Healthcare,pharmacynetwork@rightwayhealthcare.com
610568,Rx Sense,**need email**
23286,Rx Sense,**need email**
24814,Rx Sense,**need email**
20545,RxAdvance,**need email**
6558,Sav-Rx,provider@savrx.com
8563,Sav-Rx,provider@savrx.com
12684,Sav-Rx,provider@savrx.com
23385,Script Care,providerinfo@scriptcare.com
19298,Script Care,providerinfo@scriptcare.com
21601,Script Care,providerinfo@scriptcare.com
21460,Scriptcare,providerinfo@scriptcare.com
13410,Scriptcare,providerinfo@scriptcare.com
21551,Scriptcare,providerinfo@scriptcare.com
23351,Scriptcare,providerinfo@scriptcare.com
14211,Scriptcare,providerinfo@scriptcare.com
18704,Scriptcare,providerinfo@scriptcare.com
18711,Scriptcare,providerinfo@scriptcare.com
18737,Scriptcare,providerinfo@scriptcare.com
18951,Scriptcare,providerinfo@scriptcare.com
19082,Scriptcare,providerinfo@scriptcare.com
19090,Scriptcare,providerinfo@scriptcare.com
19132,Scriptcare,providerinfo@scriptcare.com
20073,Scriptcare,providerinfo@scriptcare.com
21395,Scriptcare,providerinfo@scriptcare.com
21478,Scriptcare,providerinfo@scriptcare.com
21585,Scriptcare,providerinfo@scriptcare.com
22096,Scriptcare,providerinfo@scriptcare.com
23377,Scriptcare,providerinfo@scriptcare.com
610729,Scriptcare,providerinfo@scriptcare.com
984000,Scriptcare,providerinfo@scriptcare.com
18570,ScriptClaim (Discount Card),**need email**
610740,ScriptClaim (Discount Card),**need email**
16466,ScriptCycle (Discount card),**need email**
15202,ScriptGuideRx,**need email**
6053,ScriptSave,**need email**
15715,ScriptSave,**need email**
800008,Select Health,SHPharmacyContracting@selecthealth.org
15730,ServRx,**need email**
19025,SmithRx Commercial,Provider@smithrx.com
24368,SmithRx Commercial,Provider@smithrx.com
24789,SmithRx Commercial,Provider@smithrx.com
15433,Southern Scripts,pharmacynetwork@southernscripts.net
12528,Ventegra,network@ventegra.com
18893,Ventegra,network@ventegra.com
14236,WellDyneRx - NetCard,Pharmacyinfo@welldyne.com
15962,WellDyneRx - NetCard,Pharmacyinfo@welldyne.com
