ndc,wac,pkg_size,pkg_size_mult,generic_indicator
23155073601,18.0,100.0,1.0,Y
13668034030,32.0,30.0,1.0,Y
69097064448,175.0,6.0,1.0,Y
00074433902,6922.62,2.0,1.0,N
24979000901,65.0,100.0,1.0,Y
00641617510,65.0,1.0,10.0,Y
67919004002,3704.8,1.0,10.0,N
70010000201,30.0,100.0,1.0,Y
72603023530,90000.0,1.0,1.0,Y
71205086190,314.96,90.0,1.0,Y
59088081701,120.25,100.0,1.0,Y
62332002790,37.41,90.0,1.0,Y
49348099044,0.0,30.0,1.0,N
62332002791,415.67,1000.0,1.0,Y
57237027424,80.0,240.0,1.0,Y
00573016440,416.88,80.0,1.0,N
10702001101,9.9,100.0,1.0,Y
63323066005,22.1,5.0,10.0,Y
71205098100,27.0,100.0,1.0,Y
13668048601,238.38,100.0,1.0,Y
00573016443,16.71,120.0,1.0,N
59651060699,20.4,1000.0,1.0,Y
70710122801,35.42,100.0,1.0,Y
65862051430,5.75,30.0,1.0,Y
61269016450,14.95,50.0,1.0,Y
70677107601,3.17,96.0,1.0,N
72603011501,24.55,100.0,1.0,Y
72603011502,150.68,500.0,1.0,Y
24979000912,105.0,300.0,1.0,Y
62332000131,10.0,100.0,1.0,Y
59651060690,3.75,90.0,1.0,Y
35573046038,10.0,30.0,1.0,Y
00143985316,17.5,125.0,1.0,Y
00143985324,40.0,200.0,1.0,Y
00054023849,12.97,100.0,1.0,Y
67457012410,11.5,10.0,1.0,Y
71930007912,30.0,100.0,1.0,Y
68180051609,9.78,90.0,1.0,Y
63629121601,7.55,100.0,1.0,Y
41167000140,5.2,24.0,1.0,N
10702001110,89.2,1000.0,1.0,Y
44567010310,110.0,1.0,10.0,Y
00641149635,64.75,1.0,25.0,Y
55513074110,2064.52,1.0,10.0,N
80681005700,1.61,100.0,1.0,Y
42858030101,23.75,100.0,1.0,Y
81952011409,287.5,10.0,25.0,Y
50742026101,27.5,100.0,1.0,Y
50742026103,50.25,300.0,1.0,Y
00409710067,219.49,100.0,50.0,Y
45802043694,395.11,30.0,1.0,Y
71205086130,104.99,30.0,1.0,Y
00037683015,460.53,15.0,1.0,N
67457085404,100.0,4.0,10.0,Y
70010002803,42.5,30.0,1.0,Y
00409710066,216.71,50.0,50.0,Y
63323056698,53.7,0.6,10.0,Y
23155048601,46.44,100.0,1.0,Y
42023011101,187.07,5.0,1.0,N
63323054036,178.25,30.0,25.0,Y
65162002309,220.0,90.0,1.0,Y
50742028760,398.54,60.0,1.0,Y
49483034150,16.0,500.0,1.0,Y
70677119601,2.5,177.0,1.0,N
50111091701,61.5,100.0,1.0,Y
64380020401,105.0,30.0,1.0,Y
13668022030,8.5,30.0,1.0,Y
37000080808,85.56,236.0,1.0,N
62135045130,510.0,30.0,1.0,Y
65862051405,95.84,500.0,1.0,Y
00573016420,4.18,20.0,1.0,N
00832111260,10.98,60.0,1.0,Y
13548013250,527.51,50.0,1.0,N
45802041059,2.1,30.0,1.0,Y
50111091703,615.0,1000.0,1.0,Y
67877024710,126.99,1000.0,1.0,Y
60687074037,205.47,20.3,100.0,Y
17204044620,7.4,60.0,1.0,Y
10135071812,7.81,12.0,1.0,Y
25021015120,52.0,1.0,10.0,Y
70010014805,90.0,500.0,1.0,Y
51672423501,144.89,100.0,1.0,Y
00169185550,52.11,100.0,1.0,N
00006027728,1100.0,100.0,1.0,N
68382020401,14.74,100.0,1.0,Y
63323054001,96.75,1.0,25.0,Y
37000080812,101.28,354.0,1.0,N
68382020405,70.02,500.0,1.0,Y
60505613206,20.0,10.0,1.0,Y
60505613207,40.0,20.0,1.0,Y
51823000690,35.16,250.0,1.0,N
16729031701,25.0,100.0,1.0,Y
70010014801,18.0,100.0,1.0,Y
00573016430,8.11,40.0,1.0,N
60842002301,621.92,2.0,1.0,N
37000053212,10.1,0.0,1.0,N
60842002302,621.92,2.0,1.0,N
70074066271,228.6,400.0,6.0,N
71205098130,9.36,30.0,1.0,Y
00054023863,35.35,500.0,1.0,Y
49483034142,0.8,0.0,1.0,Y
68462026190,17.0,90.0,1.0,Y
70074066276,228.6,400.0,6.0,N
50111078766,25.32,6.0,3.0,Y
00006027731,330.0,30.0,1.0,N
00555906667,84.99,28.0,3.0,Y
00591534701,59.44,100.0,1.0,Y
68462089710,350.0,1.0,10.0,Y
63323054015,181.75,10.0,25.0,Y
44567022301,145.0,1.0,1.0,Y
55111026281,51.88,30.0,1.0,Y
51823000687,112.8,250.0,1.0,N
60687086001,36.5,100.0,1.0,Y
63323054013,96.75,1.0,25.0,Y
00409146301,44.58,1.0,10.0,Y
42291062401,75.89,100.0,1.0,Y
72888008005,15.0,500.0,1.0,Y
23594060550,449.0,50.0,1.0,N
50632001602,117.28,4.0,1.0,N
82238302401,6.74,0.0,1.0,N
59310030240,219.0,10.6,1.0,N
71205088730,6.19,30.0,1.0,Y
50268050329,11.4,29.57,1.0,Y
45802090096,40.0,60.0,1.0,Y
72888008000,30.0,1000.0,1.0,Y
45802090094,20.0,30.0,1.0,Y
72888008001,3.0,100.0,1.0,Y
59762134401,19.31,90.0,1.0,Y
00904679430,21.71,300.0,1.0,Y
65162099308,72.55,8.0,1.0,Y
23155083001,26.88,100.0,1.0,Y
82619011301,4.99,30.0,1.0,Y
50228035290,11.99,90.0,1.0,Y
00641039112,71.61,1.0,25.0,Y
23155083005,131.04,500.0,1.0,Y
00009519102,1236.35,90.0,1.0,N
42571025201,43.0,100.0,1.0,Y
00009519101,412.14,30.0,1.0,N
60687039601,53.0,100.0,1.0,Y
55289049301,3.6,100.0,1.0,Y
16571077450,36.23,500.0,1.0,Y
00713080431,419.76,30.0,1.0,Y
10702001150,46.8,500.0,1.0,Y
39822025001,85.0,1.0,1.0,Y
42291037430,78.38,30.0,1.0,Y
53436008430,1065.09,30.0,1.0,N
68180097009,14.86,90.0,1.0,Y
00414005429,29.8,0.0,1.0,Y
24359080413,265.35,400.0,6.0,N
65162016906,11.97,60.0,1.0,Y
24359080412,44.23,400.0,1.0,N
68180097001,16.51,100.0,1.0,Y
00172392560,2.99,100.0,1.0,Y
50268062315,89.76,50.0,1.0,Y
68180097003,165.11,1000.0,1.0,Y
00037225010,771.1,100.0,1.0,N
65649000330,565.87,30.0,1.0,N
00093961413,65.72,960.0,1.0,Y
23155085676,45.6,30.0,1.0,Y
23155085677,152.0,100.0,1.0,Y
00517750425,271.75,4.0,25.0,Y
72162150001,66.0,100.0,1.0,Y
24338027001,3273.73,4.0,1.0,N
51079063120,210.3,100.0,1.0,Y
72789027690,13.47,90.0,1.0,Y
00904775216,3.73,473.0,1.0,Y
83257001233,404.04,3.0,5.0,N
62135072790,360.0,90.0,1.0,Y
68180087673,11.21,28.0,3.0,Y
42808010306,68.7,177.0,1.0,Y
65162004950,118.5,500.0,1.0,Y
54288014701,210.0,10.0,1.0,Y
69616027830,1227.0,30.0,1.0,N
71205088755,74.88,500.0,1.0,Y
66993007896,132.95,10.6,1.0,Y
72789027693,26.88,180.0,1.0,Y
00046257512,247.61,28.0,1.0,N
00536303006,19.36,50.0,1.0,Y
70756065030,30.0,10.0,1.0,Y
60219164008,800.0,270.0,1.0,Y
69367034505,51.25,500.0,1.0,Y
58407062530,17.65,30.0,1.0,Y
63629914701,89.1,100.0,1.0,Y
71205086100,349.96,100.0,1.0,Y
76045021210,181.2,1.0,24.0,Y
00904751270,163.33,5.0,100.0,Y
60432012916,59.82,450.0,1.0,Y
00186037020,234.28,10.2,1.0,N
72789027687,42.25,300.0,1.0,Y
42808010312,123.66,354.8,1.0,Y
72789027682,75.12,500.0,1.0,Y
00186037028,159.2,6.0,1.0,N
72205014530,2.5,30.0,1.0,Y
42291049430,65.44,30.0,1.0,Y
78206012301,183.25,30.0,1.0,N
78206012302,549.76,90.0,1.0,N
72205026507,50.0,5.0,10.0,Y
65219057901,1320.0,1.0,10.0,Y
00781615395,460.78,1.0,10.0,Y
68462065729,167.31,28.0,3.0,Y
42291050410,1999.06,1000.0,1.0,Y
60687015625,45.0,30.0,1.0,Y
60505471403,237.82,30.0,1.0,Y
42799012301,145.95,100.0,1.0,Y
70069038310,388.0,1.0,10.0,Y
47335070713,33.33,500.0,1.0,Y
31722058830,7.0,30.0,1.0,Y
00093936401,31.95,100.0,1.0,Y
50268086315,11.7,50.0,1.0,Y
53436008404,189.76,4.0,1.0,N
31722032201,1107.95,100.0,1.0,Y
00093936405,155.75,500.0,1.0,Y
00904680461,109.64,100.0,1.0,Y
70677117001,26.99,100.0,1.0,N
00536303023,31.47,110.0,1.0,Y
42571013252,200.0,5.0,96.0,Y
69238208001,70.47,100.0,1.0,Y
70756080630,5.0,30.0,1.0,Y
50111078710,63.75,30.0,1.0,Y
42806056012,150.0,120.0,1.0,Y
00904726261,56.82,100.0,1.0,Y
55289049330,2.49,30.0,1.0,Y
62135096790,315.0,90.0,1.0,Y
47781013830,445.06,30.0,1.0,Y
71205088700,15.94,100.0,1.0,Y
75854060203,849.93,28.0,3.0,N
00074732513,205.59,100.0,1.0,N
72205014599,40.0,1000.0,1.0,Y
72603060501,20.96,100.0,1.0,Y
42571040892,400.0,5.0,0.0,Y
63323032620,63.5,1.0,10.0,Y
23155058001,199.23,100.0,1.0,Y
42571039871,100.0,60.0,1.0,Y
72205014591,4.0,100.0,1.0,Y
52817081615,28.0,15.0,1.0,Y
00904692461,34.86,100.0,1.0,Y
70377008311,1731.16,60.0,1.0,Y
72205002599,63.89,1000.0,1.0,Y
71205088715,4.99,15.0,1.0,Y
55289049312,1.88,12.0,1.0,Y
50268074315,22.59,50.0,1.0,Y
69097052444,15.0,100.0,1.0,Y
16571077401,7.25,100.0,1.0,Y
72205002590,10.0,90.0,1.0,Y
71205088710,3.74,10.0,1.0,Y
16714082501,318.18,60.0,1.0,Y
71205088714,4.86,14.0,1.0,Y
70710193106,700.0,0.0,1.0,Y
65145015401,17.0,15.0,1.0,Y
65702015610,8.75,100.0,1.0,N
45802065075,5.18,90.0,1.0,Y
54123011430,636.9,30.0,1.0,N
00172392570,13.99,500.0,1.0,Y
65162004910,23.7,100.0,1.0,Y
00781328809,188.89,50.0,24.0,Y
00378581577,50.0,90.0,1.0,Y
00078107068,7936.48,2.0,1.0,N
72888011600,34.41,1000.0,1.0,Y
69076014601,17.0,100.0,1.0,Y
00378483090,566.28,90.0,1.0,Y
68462026110,188.89,1000.0,1.0,Y
72888011601,3.82,100.0,1.0,Y
00093936410,303.5,1000.0,1.0,Y
70069038301,38.8,1.0,1.0,Y
71205088721,5.56,21.0,1.0,Y
71205088720,5.38,20.0,1.0,Y
72888011605,18.17,500.0,1.0,Y
42291037490,220.71,90.0,1.0,Y
70069038305,194.0,1.0,5.0,Y
72162149005,168.0,500.0,1.0,Y
00378027705,865.1,500.0,1.0,Y
45802065087,12.0,300.0,1.0,Y
62135084790,405.0,90.0,1.0,Y
69238149101,68.0,100.0,1.0,Y
00904679480,8.59,1000.0,1.0,Y
69238149105,340.0,500.0,1.0,Y
68382056401,15.14,100.0,1.0,Y
00069031310,145.73,1.0,10.0,N
00904679489,1.44,90.0,1.0,Y
00378027701,173.02,100.0,1.0,Y
00781808692,1800.0,90.0,1.0,Y
42806009630,150.0,30.0,1.0,Y
51862061201,162.51,100.0,1.0,Y
00173081728,827.64,98.0,1.0,N
00904714361,111.6,100.0,1.0,Y
08496032201,4.99,100.0,1.0,N
42292003920,58.9,100.0,1.0,Y
63739099110,23.63,100.0,1.0,Y
00436094616,14.25,473.0,1.0,N
00087510069,124.32,352.0,1.0,N
43538051012,599.66,12.0,1.0,N
10135068260,1.97,60.0,1.0,Y
31722071730,53.1,30.0,1.0,Y
50268052915,48.37,50.0,1.0,Y
72789027620,5.3,20.0,1.0,Y
16729028010,9.42,30.0,1.0,Y
00904702367,15.62,144.0,1.0,Y
63629194601,28.67,100.0,1.0,Y
00990614309,66.36,1000.0,12.0,Y
43547034450,120.0,500.0,1.0,Y
60793090804,407.89,5.0,1.0,N
50268013313,49.71,30.0,1.0,Y
72789027614,4.65,14.0,1.0,Y
55513013201,3808.18,1.0,1.0,N
00023663410,12.59,10.0,1.0,N
10631000231,1230.76,30.0,1.0,N
31722083710,600.0,88.0,1.0,Y
33342024811,11.0,100.0,1.0,Y
00904726361,84.35,100.0,1.0,Y
63629204401,117.22,500.0,1.0,Y
00173078100,1347.57,30.0,1.0,N
00338361224,256.32,50.0,24.0,Y
65862014505,24.38,500.0,1.0,Y
72789027610,4.3,10.0,1.0,Y
16729028001,31.4,100.0,1.0,Y
62135070090,1170.0,90.0,1.0,Y
00525804990,296.76,90.0,1.0,N
50228047212,12.29,120.0,1.0,Y
29300015501,35.0,100.0,1.0,Y
50228047205,51.74,500.0,1.0,Y
31722044130,1688.04,30.0,1.0,Y
55111016830,14.4,30.0,1.0,Y
69536031508,7.97,0.0,1.0,N
42291086430,12.09,30.0,1.0,Y
00682005130,1400.0,454.0,1.0,N
50268039950,21.84,50.0,1.0,Y
69536031504,4.7,0.0,1.0,N
00115993901,100.0,30.0,1.0,Y
00143936410,280.0,200.0,10.0,Y
44087004403,10988.32,0.5,12.0,N
58151042893,2622.85,30.0,1.0,N
00713080499,1399.07,100.0,1.0,Y
42291050490,326.02,90.0,1.0,Y
08290406060,257.4,0.0,1.0,N
00990614322,132.72,250.0,24.0,Y
08373552900,1.05,1.0,1.0,N
16714069501,24.71,35.0,1.0,Y
72789027601,14.11,100.0,1.0,Y
83245005306,595.0,165.0,1.0,N
89112106404,1619.2,0.0,1.0,N
62135069090,360.0,90.0,1.0,Y
61314024063,1604.13,1.0,1.0,N
00904728961,47.3,100.0,1.0,Y
76125015002,745.62,2.0,1.0,N
70710183805,1171.94,10.0,5.0,Y
00832603212,50.14,120.0,1.0,Y
00378086005,1040.03,500.0,1.0,Y
31722058790,21.0,90.0,1.0,Y
50268076915,18.93,50.0,1.0,Y
67877073660,22.25,60.0,1.0,Y
13668000701,9.0,100.0,1.0,Y
16714045501,64.59,100.0,1.0,Y
70436002082,30.0,1.0,10.0,Y
00378086001,218.24,100.0,1.0,Y
72789027674,59.7,400.0,1.0,Y
00245057501,821.56,30.0,1.0,Y
72789027671,31.47,210.0,1.0,Y
00409158210,52.21,10.0,10.0,Y
00406577162,45.14,100.0,1.0,Y
11169068970,8.7,0.0,1.0,N
00832532211,42.91,100.0,1.0,Y
33342009209,20.0,60.0,1.0,Y
00832532210,429.08,1000.0,1.0,Y
43386077001,2000.0,100.0,1.0,Y
76125015010,3403.24,10.0,1.0,N
56184012011,2.39,30.0,1.0,N
72162139703,13.25,30.0,1.0,Y
72162139709,64.93,90.0,1.0,Y
13668000710,90.0,1000.0,1.0,Y
51862024230,105.2,30.0,1.0,Y
72205014505,18.22,500.0,1.0,Y
25208000202,239.0,250.0,1.0,N
50580060404,6.83,120.0,1.0,N
57896057501,3.39,100.0,1.0,Y
25208000201,92.0,100.0,1.0,N
24208050402,259.17,2.5,1.0,N
68462014201,57.99,100.0,1.0,Y
66993078130,146.29,30.0,1.0,Y
50268064930,167.33,5.0,30.0,Y
64980034114,3.5,4.0,1.0,Y
64980058103,31.91,30.0,1.0,Y
13668000705,45.0,500.0,1.0,Y
24208050405,518.32,5.0,1.0,N
70677000802,0.0,30.0,1.0,N
69355051601,160.0,30.0,1.0,N
33342048809,154.0,60.0,1.0,Y
56151147002,14.25,1.0,1.0,N
64980058109,95.73,90.0,1.0,Y
00517003225,1087.5,10.0,25.0,Y
50268003915,27.01,50.0,1.0,Y
00185505001,58.5,100.0,1.0,Y
33342010215,30.0,500.0,1.0,Y
60687040701,53.75,100.0,1.0,Y
62332048090,5360.55,90.0,1.0,Y
72789003682,16.61,500.0,1.0,Y
53746054501,36.18,100.0,1.0,Y
00469052002,1620.47,14.0,1.0,N
00409158229,83.4,30.0,10.0,Y
50228023201,7.15,100.0,1.0,Y
63629118001,112.26,100.0,1.0,Y
70860078405,50.0,5.0,10.0,Y
72205002505,55.56,500.0,1.0,Y
70752014110,335.48,100.0,1.0,Y
51079014120,53.06,100.0,1.0,Y
33342010207,1.95,30.0,1.0,Y
65162051250,150.0,500.0,1.0,Y
00023915630,444.56,30.0,1.0,N
72789003695,31.35,1000.0,1.0,Y
00316022360,136.36,60.0,1.0,Y
00121406740,149.74,5.0,40.0,Y
50228023205,31.6,500.0,1.0,Y
00067680302,6.42,0.0,1.0,N
62135082090,405.0,90.0,1.0,Y
55111016805,204.0,500.0,1.0,Y
59651069101,5.16,100.0,1.0,Y
68992304001,2829.45,100.0,1.0,N
68992304003,848.84,30.0,1.0,N
00093745701,74.17,100.0,1.0,Y
00832111360,10.98,60.0,1.0,Y
43598068660,673.52,60.0,1.0,Y
63629241401,47.68,500.0,1.0,Y
00143145805,155.0,500.0,1.0,Y
60505625201,38.16,100.0,1.0,Y
00143145801,62.0,100.0,1.0,Y
13668022090,25.5,90.0,1.0,Y
60505280707,196.42,120.0,1.0,Y
68382020501,23.21,100.0,1.0,Y
08380014603,24.5,5.0,1.0,N
08380014604,24.5,5.0,1.0,N
68382020505,110.25,500.0,1.0,Y
59651069105,25.8,500.0,1.0,Y
64980022101,150.0,100.0,1.0,Y
66490069010,1989.27,100.0,1.0,N
00002879759,159.12,3.0,5.0,N
00006027754,990.0,90.0,1.0,N
00093106301,65.8,100.0,1.0,Y
25021040030,170.0,30.0,25.0,Y
64850091101,345.6,100.0,1.0,Y
00406012301,20.0,100.0,1.0,Y
00591532101,36.18,100.0,1.0,Y
57237015530,26.5,30.0,1.0,Y
08881682101,64.07,100.0,1.0,N
63739077710,362.5,100.0,1.0,Y
00185027701,89.47,100.0,1.0,Y
86790016280,11.94,28.0,1.0,N
43386028001,303.38,1.0,1.0,Y
62175047232,35.96,30.0,1.0,Y
00406012305,100.0,500.0,1.0,Y
00135019902,14.81,100.0,1.0,N
59651059760,24.5,60.0,1.0,Y
70436014006,100.0,90.0,1.0,Y
60687052721,105.0,30.0,1.0,Y
63629865201,91.24,30.0,1.0,Y
00406012310,200.0,1000.0,1.0,Y
00536136234,8.99,20.0,1.0,Y
44567022210,220.0,1.0,10.0,Y
31722068147,80.0,473.0,1.0,Y
00832027311,41.05,100.0,1.0,Y
60505013400,423.8,30.0,1.0,Y
57237003501,49.29,100.0,1.0,Y
70710134803,25.6,30.0,1.0,Y
85412000041,416.04,0.0,1.0,N
00904741904,449.0,88.0,1.0,Y
70710134809,76.75,90.0,1.0,Y
17191030030,220.0,300.0,1.0,N
00009027101,245.66,5.0,1.0,N
00641149535,46.2,1.0,25.0,Y
42858030201,34.26,100.0,1.0,Y
50742026003,52.5,300.0,1.0,Y
00574222520,83.7,20.0,1.0,Y
10135071844,3.01,4.0,1.0,Y
00409710166,225.08,50.0,50.0,Y
00409710167,222.29,100.0,50.0,Y
45963030409,327.85,90.0,1.0,Y
00703001801,103.5,50.0,1.0,Y
37000067920,78.4,20.0,1.0,N
31722009831,87.0,354.0,1.0,Y
50742026001,25.25,100.0,1.0,Y
59762038601,199.3,100.0,1.0,Y
65162051210,30.0,100.0,1.0,Y
11845183354,7.05,0.0,1.0,N
10135081201,9.16,100.0,1.0,Y
57237003575,37.34,75.0,1.0,Y
00093310056,1486.82,30.0,1.0,Y
80725024330,1285.02,30.0,1.0,N
63629877201,15.0,85.0,1.0,Y
08881501400,86.15,100.0,1.0,N
58160082111,722.4,1.0,10.0,N
45802043732,50.0,50.0,1.0,Y
45802043733,100.0,100.0,1.0,Y
71205098060,6.23,60.0,1.0,Y
69292053210,202.5,1000.0,1.0,Y
60687049101,21.76,100.0,1.0,Y
00093816501,199.35,100.0,1.0,Y
00006027782,11000.0,1000.0,1.0,N
43598032675,115.37,7.5,1.0,Y
48433013010,20.0,0.0,1.0,N
43547022406,39.4,60.0,1.0,Y
70121172003,75.0,100.0,12.0,Y
10135068230,0.98,30.0,1.0,Y
74312001140,2.49,100.0,1.0,N
52244020010,575.03,100.0,1.0,N
43975027810,93.0,100.0,1.0,Y
62332063831,39.99,100.0,1.0,Y
81005012401,7.41,100.0,1.0,Y
13925011890,37.85,90.0,1.0,Y
70700031525,859.87,1.0,25.0,Y
43547034406,15.0,60.0,1.0,Y
00009029703,1487.7,6.0,1.0,N
70700031527,34.39,1.0,1.0,Y
29300015519,35.0,90.0,1.0,Y
00005556819,7.04,60.0,1.0,N
70121172009,150.0,100.0,24.0,Y
71205098072,11.24,120.0,1.0,Y
59651033101,1000.0,100.0,1.0,Y
42291001501,14.93,100.0,1.0,Y
00536136223,23.24,110.0,1.0,Y
00409710102,140.64,250.0,24.0,Y
00574222545,158.49,45.0,1.0,Y
69292053201,20.25,100.0,1.0,Y
43598056630,15.48,30.0,1.0,Y
60505253106,90.0,60.0,1.0,Y
70515011506,911.13,60.0,1.0,N
00009003101,169.77,100.0,1.0,N
57237003550,29.32,50.0,1.0,Y
11523433804,13.87,30.0,1.0,N
00143985375,14.25,75.0,1.0,Y
17191030008,67.51,50.0,1.0,N
43598044674,24.89,14.0,1.0,Y
11523433802,11.15,0.0,1.0,N
49483022206,47.5,60.0,1.0,Y
71923000000,180.0,1.0,1.0,N
43598044670,14.69,7.0,1.0,Y
73302045601,38.75,1.0,1.0,N
00338050548,102.57,100.0,24.0,Y
08496034801,4.99,100.0,1.0,N
25021040001,60.0,1.0,25.0,Y
00406048301,41.73,100.0,1.0,Y
60846080901,442.56,100.0,1.0,N
62332012090,15.0,90.0,1.0,Y
00480974101,1107.95,100.0,1.0,Y
23155024601,11.9,100.0,1.0,Y
50268027915,178.8,50.0,1.0,Y
82347004504,123.69,30.0,1.0,Y
60505001406,54.38,100.0,1.0,Y
60505001408,258.28,500.0,1.0,Y
54629056001,5.19,100.0,1.0,N
00904704961,75.0,100.0,1.0,Y
71205098090,9.34,90.0,1.0,Y
10135081210,70.02,1000.0,1.0,Y
50742065601,8.1,100.0,1.0,Y
60687039583,8.65,3.0,30.0,Y
00904572514,3.71,355.0,1.0,Y
69238115803,25.0,30.0,1.0,Y
45802028139,335.97,1.25,30.0,Y
00406012362,61.2,100.0,1.0,Y
74312001110,3.7,100.0,1.0,N
25021040010,90.0,10.0,25.0,Y
62332038690,114.0,90.0,1.0,Y
72789003601,4.5,100.0,1.0,Y
60687076727,424.75,30.0,1.0,Y
49483022210,57.0,100.0,1.0,Y
00536136206,16.02,50.0,1.0,Y
81033006620,545.0,200.0,1.0,N
13668022130,8.5,30.0,1.0,Y
37000080708,85.56,236.0,1.0,N
63736002615,8.89,0.0,1.0,N
00641605425,72.39,1.0,25.0,Y
67877024610,120.5,1000.0,1.0,Y
00395266216,12.28,473.0,1.0,Y
44567010401,76.0,1.0,1.0,Y
70436016602,128.27,500.0,1.0,Y
23155073710,180.0,1000.0,1.0,Y
70436016601,25.65,100.0,1.0,Y
43063087495,42.05,1000.0,1.0,Y
00713070915,29.25,15.0,1.0,Y
60505351706,66.77,60.0,1.0,Y
63629108701,18.35,100.0,1.0,Y
23155085703,15.0,30.0,1.0,Y
62332048231,292.99,100.0,1.0,Y
23155085705,250.0,500.0,1.0,Y
00395051516,20.83,473.0,1.0,Y
37000080712,101.28,354.0,1.0,N
62332000291,150.0,1000.0,1.0,Y
71247015010,259.99,1.0,1.0,Y
43598017225,5.0,5.0,1.0,Y
69452022720,125.68,100.0,1.0,Y
72888011701,5.54,100.0,1.0,Y
00338001748,259.34,100.0,96.0,Y
23155085709,45.0,90.0,1.0,Y
68084031301,83.76,100.0,1.0,Y
72888011700,46.15,1000.0,1.0,Y
00009752910,27.64,2.0,1.0,Y
23155073701,18.0,100.0,1.0,Y
72888011705,24.28,500.0,1.0,Y
62135060812,420.0,120.0,1.0,Y
62332036250,40.55,50.0,1.0,Y
71205098030,3.11,30.0,1.0,Y
68462026290,17.0,90.0,1.0,Y
13668034130,39.0,30.0,1.0,Y
50111078867,25.32,3.0,3.0,Y
00009752903,41.27,5.0,1.0,Y
00009752904,27.64,2.0,1.0,Y
99207030060,706.13,60.0,1.0,N
00009752905,113.69,15.0,1.0,Y
68094012062,79.97,15.0,30.0,Y
63739014310,47.83,100.0,1.0,Y
62135059830,137.7,30.0,1.0,Y
00641617410,45.0,1.0,10.0,Y
60687086101,59.0,100.0,1.0,Y
72603021010,127.0,1.0,10.0,Y
68094012061,262.35,15.0,100.0,Y
68094075662,61.55,4.0,30.0,Y
43598017215,50.0,5.0,10.0,Y
54288012001,90.0,10.0,1.0,Y
62856024630,506.1,30.0,1.0,N
24470094010,25.0,100.0,1.0,Y
00187581230,6669.18,30.0,1.0,N
43598044874,24.89,14.0,1.0,Y
43598044870,14.69,7.0,1.0,Y
24689014002,11.0,90.0,1.0,Y
60505290009,479.03,90.0,1.0,Y
83634045461,120.0,1.0,1.0,Y
60846080701,441.74,100.0,1.0,N
37000055724,201.6,24.0,1.0,N
50268086215,12.27,50.0,1.0,Y
71247015001,71.5,100.0,1.0,Y
25021040201,37.5,1.0,25.0,Y
62332075630,168.24,30.0,1.0,Y
62332012290,15.0,90.0,1.0,Y
50111078855,15.0,3.0,1.0,Y
60505265007,115.99,150.0,1.0,Y
65862051330,5.5,30.0,1.0,Y
00395063516,35.27,473.0,1.0,Y
